scientific,genus,region,sex,wt,avg_wt,Dimorph_cd,diet_cd_1,strata_cd,activity_cd
Acrobates pygmaeus,Acrobates,SC,B,12,12,0,F,A,N
Antechinus flavipes,Antechinus,SW,M,56,45,1,A,AT,N
Antechinus flavipes,Antechinus,SW,F,34,45,1,A,AT,N
Antechinus flavipes,Antechinus,SC,M,56,45,1,A,AT,N
Antechinus flavipes,Antechinus,SC,F,34,45,1,A,AT,N
Bettongia lesueur,Bettongia,SC,B,680,680,0,F,ST,N
Bettongia lesueur,Bettongia,SW,B,680,680,0,F,ST,N
Bettongia penicillata,Bettongia,SC,M,1415,1270,1,F,T,N
Bettongia penicillata,Bettongia,SC,F,1125,1270,1,F,T,N
Bettongia penicillata,Bettongia,SW,M,1415,1270,1,F,T,N
Bettongia penicillata,Bettongia,SW,F,1125,1270,1,F,T,N
Canis lupus,Canis,SC,M,15000,14000,1,A,T,C
Canis lupus,Canis,SC,F,13000,14000,1,A,T,C
Canis lupus,Canis,SW,M,15000,14000,1,A,T,C
Canis lupus,Canis,SW,F,13000,14000,1,A,T,C
Capra hircus,Capra,SW,M,40000,33500,1,H,T,D
Capra hircus,Capra,SW,F,27000,33500,1,H,T,D
Capra hircus,Capra,SC,M,40000,33500,1,H,T,D
Capra hircus,Capra,SC,F,27000,33500,1,H,T,D
Cercartetus concinnus,Cercartetus,SC,B,13,13,0,A,A,N
Cercartetus concinnus,Cercartetus,SW,B,13,13,0,A,A,N
Cervus elaphus,Cervus,SC,M,147000,119500,1,H,T,CR
Cervus elaphus,Cervus,SC,F,92000,119500,1,H,T,CR
Dama dama,Dama,SC,M,80000,63000,1,H,T,CR
Dama dama,Dama,SC,F,46000,63000,1,H,T,CR
Dasyurus geoffroii,Dasyurus,SC,M,1310,1100,1,A,ST,N
Dasyurus geoffroii,Dasyurus,SC,F,890,1100,1,A,ST,N
Dasyurus geoffroii,Dasyurus,SW,M,1310,1100,1,A,ST,N
Dasyurus geoffroii,Dasyurus,SW,F,890,1100,1,A,ST,N
Dasyurus maculatus,Dasyurus,SC,M,3000,2500,1,A,T,N
Dasyurus maculatus,Dasyurus,SC,F,2000,2500,1,A,T,N
Dasyurus viverrinus,Dasyurus,SC,M,1300,1090,1,A,ST,N
Dasyurus viverrinus,Dasyurus,SC,F,880,1090,1,A,ST,N
Felis catus,Felis,SW,M,5350,4550,1,A,T,N
Felis catus,Felis,SW,F,3750,4550,1,A,T,N
Felis catus,Felis,SC,M,5350,4550,1,A,T,N
Felis catus,Felis,SC,F,3750,4550,1,A,T,N
Hydromys chrysogaster,Hydromys,SW,M,755,680.5,1,A,TA,N
Hydromys chrysogaster,Hydromys,SW,F,606,680.5,1,A,TA,N
Hydromys chrysogaster,Hydromys,SC,M,755,680.5,1,A,TA,N
Hydromys chrysogaster,Hydromys,SC,F,606,680.5,1,A,TA,N
Isoodon obesulus,Isoodon,SC,M,890,755,1,A,T,C
Isoodon obesulus,Isoodon,SC,F,620,755,1,A,T,C
Isoodon obesulus,Isoodon,SW,M,890,755,1,A,T,C
Isoodon obesulus,Isoodon,SW,F,620,755,1,A,T,C
Lagorchestes hirsutus,Lagorchestes,SW,M,1220,1265,1,H,T,N
Lagorchestes hirsutus,Lagorchestes,SW,F,1310,1265,1,H,T,N
Lagostrophus fasciatus,Lagostrophus,SW,B,1600,1600,0,H,T,N
Lasiorhinus latifrons,Lasiorhinus,SC,M,27500,27125,1,H,ST,N
Lasiorhinus latifrons,Lasiorhinus,SC,F,26750,27125,1,H,ST,N
Leporillus conditor,Leporillus,SC,B,350,350,0,H,T,N
Leporillus conditor,Leporillus,SW,B,350,350,0,H,T,N
Lepus europaeus,Lepus,SC,M,3200,3350,1,H,ST,N
Lepus europaeus,Lepus,SC,F,3500,3350,1,H,ST,N
Macropus eugenii,Macropus,SC,M,7500,6500,1,H,T,N
Macropus eugenii,Macropus,SC,F,5500,6500,1,H,T,N
Macropus eugenii,Macropus,SW,M,7500,6500,1,H,T,N
Macropus eugenii,Macropus,SW,F,5500,6500,1,H,T,N
Macropus fuliginosus,Macropus,SC,M,45000,36500,1,H,T,N
Macropus fuliginosus,Macropus,SC,F,28000,36500,1,H,T,N
Macropus fuliginosus,Macropus,SW,M,45000,36500,1,H,T,N
Macropus fuliginosus,Macropus,SW,F,28000,36500,1,H,T,N
Macropus irma,Macropus,SW,B,8000,8000,0,H,T,CR
Macropus robustus,Macropus,SC,M,33625,25375,1,H,T,N
Macropus robustus,Macropus,SC,F,17125,25375,1,H,T,N
Macropus robustus,Macropus,SW,M,33625,25375,1,H,T,N
Macropus robustus,Macropus,SW,F,17125,25375,1,H,T,N
Macropus rufus,Macropus,SC,M,55000,40000,1,H,T,N
Macropus rufus,Macropus,SC,F,25000,40000,1,H,T,N
Macropus rufus,Macropus,SW,M,55000,40000,1,H,T,N
Macropus rufus,Macropus,SW,F,25000,40000,1,H,T,N
Macrotis lagotis,Macrotis,SW,M,1750,1350,1,A,ST,N
Macrotis lagotis,Macrotis,SW,F,950,1350,1,A,ST,N
Macrotis lagotis,Macrotis,SC,M,1750,1350,1,A,ST,N
Macrotis lagotis,Macrotis,SC,F,950,1350,1,A,ST,N
Mus musculus,Mus,SW,B,16.5,16.5,0,F,T,N
Mus musculus,Mus,SC,B,16.5,16.5,0,F,T,N
Myrmecobius fasciatus,Myrmecobius,SC,M,597,537.5,1,A,ST,D
Myrmecobius fasciatus,Myrmecobius,SC,F,478,537.5,1,A,ST,D
Myrmecobius fasciatus,Myrmecobius,SW,M,597,537.5,1,A,ST,D
Myrmecobius fasciatus,Myrmecobius,SW,F,478,537.5,1,A,ST,D
Notomys alexis,Notomys,SW,B,35,35,1,F,ST,N
Notomys mitchelli,Notomys,SW,B,52,52,0,F,ST,N
Oryctolagus cuniculus,Oryctolagus,SW,M,1590,1580,1,H,ST,CR
Oryctolagus cuniculus,Oryctolagus,SW,F,1570,1580,1,H,ST,CR
Oryctolagus cuniculus,Oryctolagus,SC,M,1590,1580,1,H,ST,CR
Oryctolagus cuniculus,Oryctolagus,SC,F,1570,1580,1,H,ST,CR
Parantechinus apicalis,Parantechinus,SW,M,80,68.75,1,A,T,CR
Parantechinus apicalis,Parantechinus,SW,F,57.5,68.75,1,A,T,CR
Perameles bougainville,Perameles,SC,M,212,215,1,A,T,N
Perameles bougainville,Perameles,SC,F,218,215,1,A,T,N
Perameles bougainville,Perameles,SW,M,212,215,1,A,T,N
Perameles bougainville,Perameles,SW,F,218,215,1,A,T,N
Petaurus breviceps,Petaurus,SC,M,140,127.5,1,F,A,N
Petaurus breviceps,Petaurus,SC,F,115,127.5,1,F,A,N
Petrogale lateralis,Petrogale,SW,M,4500,4000,1,H,T,N
Petrogale lateralis,Petrogale,SW,F,3500,4000,1,H,T,N
Petrogale xanthopus,Petrogale,SC,B,8500,8500,0,H,T,N
Phascogale calura,Phascogale,SW,M,60,51.5,1,A,AT,N
Phascogale calura,Phascogale,SW,F,43,51.5,1,A,AT,N
Phascogale calura,Phascogale,SC,M,60,51.5,1,A,AT,N
Phascogale calura,Phascogale,SC,F,43,51.5,1,A,AT,N
Phascogale tapoatafa,Phascogale,SC,M,231,193.5,1,A,A,N
Phascogale tapoatafa,Phascogale,SC,F,156,193.5,1,A,A,N
Phascogale tapoatafa,Phascogale,SW,M,231,193.5,1,A,A,N
Phascogale tapoatafa,Phascogale,SW,F,156,193.5,1,A,A,N
Phascolarctos cinereus,Phascolarctos,SC,M,12000,10250,1,H,A,N
Phascolarctos cinereus,Phascolarctos,SC,F,8500,10250,1,H,A,N
Planigale gilesi,Planigale,SC,M,11.5,9.2,1,A,ST,CR
Planigale gilesi,Planigale,SC,F,6.9,9.2,1,A,ST,CR
Planigale tenuirostris,Planigale,SC,M,6.8,6.05,1,A,ST,N
Planigale tenuirostris,Planigale,SC,F,5.3,6.05,1,A,ST,N
Potorous gilbertii,Potorous,SW,M,985,948.5,1,F,T,N
Potorous gilbertii,Potorous,SW,F,912,948.5,1,F,T,N
Potorous tridactylus,Potorous,SW,M,1180,1100,1,F,T,N
Potorous tridactylus,Potorous,SW,F,1020,1100,1,F,T,N
Pseudocheirus occidentalis,Pseudocheirus,SW,B,1000,1000,0,H,A,N
Pseudocheirus peregrinus,Pseudocheirus,SC,B,900,900,0,H,A,N
Pseudomys albocinereus,Pseudomys,SW,M,35,30.5,1,F,ST,N
Pseudomys albocinereus,Pseudomys,SW,F,26,30.5,1,F,ST,N
Pseudomys australis,Pseudomys,SC,B,40,40,0,F,ST,N
Pseudomys bolami,Pseudomys,SC,B,12.5,12.5,0,F,ST,N
Pseudomys desertor,Pseudomys,SC,B,25,25,0,F,ST,N
Pseudomys desertor,Pseudomys,SW,B,25,25,0,F,ST,N
Pseudomys fieldi,Pseudomys,SW,B,45,45,0,F,T,N
Pseudomys hermannsburgensis,Pseudomys,SW,B,12,12,0,F,ST,N
Pseudomys nanus,Pseudomys,SW,M,34,32.5,1,F,T,N
Pseudomys nanus,Pseudomys,SW,F,31,32.5,1,F,T,N
Pseudomys occidentalis,Pseudomys,SW,B,34,34,0,F,ST,N
Pseudomys shortridgei,Pseudomys,SC,B,70,70,0,F,T,N
Pseudomys shortridgei,Pseudomys,SW,B,70,70,0,F,T,N
Rattus fuscipes,Rattus,SC,B,132.5,132.5,0,F,ST,N
Rattus fuscipes,Rattus,SW,B,132.5,132.5,0,F,ST,N
Rattus lutreolus,Rattus,SC,B,125,125,0,F,T,N
Rattus norvegicus,Rattus,SC,B,320,320,0,F,ST,N
Rattus norvegicus,Rattus,SW,B,320,320,0,F,ST,N
Rattus rattus,Rattus,SC,B,280,280,0,F,T,N
Rattus rattus,Rattus,SW,B,280,280,0,F,T,N
Rattus tunneyi,Rattus,SC,B,86,86,0,F,ST,N
Rattus tunneyi,Rattus,SW,B,86,86,0,F,ST,N
Setonix brachyurus,Setonix,SW,M,3450,3000,1,H,T,N
Setonix brachyurus,Setonix,SW,F,2550,3000,1,H,T,N
