scientific,genus,region.x,sex,wt,avg_wt,dimorph,diet,strata,activity,log_wt,log_avg_wt,reg_congen,logWtAnalysis
Planigale tenuirostris,Planigale,SC,F,5.3,6.05,1,A,ST,N,0.72427587,0.781755375,2,0.72427587
Planigale tenuirostris,Planigale,SC,M,6.8,6.05,1,A,ST,N,0.832508913,0.781755375,2,0.832508913
Planigale gilesi,Planigale,SC,F,6.9,9.2,1,A,ST,CR,0.838849091,0.963787827,2,0.838849091
Planigale gilesi,Planigale,SC,M,11.5,9.2,1,A,ST,CR,1.06069784,0.963787827,2,1.06069784
Pseudomys bolami,Pseudomys,SC,B,12.5,12.5,0,F,ST,N,1.096910013,1.096910013,4,1.096910013
Cercartetus concinnus,Cercartetus,SC,B,13.0,13.0,0,A,A,N,1.113943352,1.113943352,1,1.113943352
Sminthopsis murina,Sminthopsis,SC,F,14.0,17.0,1,A,T,N,1.146128036,1.230448921,3,1.146128036
Sminthopsis crassicaudata,Sminthopsis,SC,B,15.0,15.0,0,A,T,N,1.1760912590000001,1.1760912590000001,3,1.1760912590000001
Mus musculus,Mus,SC,B,16.5,16.5,0,F,T,N,1.217483944,1.217483944,1,1.217483944
Sminthopsis macroura,Sminthopsis,SC,B,20.0,20.0,0,A,T,N,1.301029996,1.301029996,3,1.301029996
Sminthopsis murina,Sminthopsis,SC,M,20.0,17.0,1,A,T,N,1.301029996,1.230448921,3,1.301029996
Pseudomys desertor,Pseudomys,SC,B,25.0,25.0,0,F,ST,N,1.397940009,1.397940009,4,1.397940009
Antechinus flavipes,Antechinus,SC,F,34.0,45.0,1,A,AT,N,1.531478917,1.653212514,1,1.531478917
Antechinus flavipes,Antechinus,SC,M,56.0,45.0,1,A,AT,N,1.748188027,1.653212514,1,1.748188027
Petaurus breviceps,Petaurus,SC,F,115.0,127.5,1,F,A,N,2.06069784,2.105510185,1,2.06069784
Rattus lutreolus,Rattus,SC,B,125.0,125.0,0,F,T,N,2.096910013,2.096910013,5,2.096910013
Rattus fuscipes,Rattus,SC,B,132.5,132.5,0,F,ST,N,2.122215878,2.122215878,5,2.122215878
Petaurus breviceps,Petaurus,SC,M,140.0,127.5,1,F,A,N,2.146128036,2.105510185,1,2.146128036
Rattus rattus,Rattus,SC,B,280.0,280.0,0,F,T,N,2.447158031,2.447158031,5,2.447158031
Rattus norvegicus,Rattus,SC,B,320.0,320.0,0,F,ST,N,2.505149978,2.505149978,5,2.505149978
Hydromys chrysogaster,Hydromys,SC,F,606.0,680.5,1,A,AT,N,2.782472624,2.8328281300000002,1,2.782472624
Isoodon obesulus,Isoodon,SC,F,620.0,755.0,1,A,T,C,2.792391689,2.877946952,1,2.792391689
Hydromys chrysogaster,Hydromys,SC,M,755.0,680.5,1,A,AT,N,2.877946952,2.8328281300000002,1,2.877946952
Isoodon obesulus,Isoodon,SC,M,890.0,755.0,1,A,T,C,2.949390007,2.877946952,1,2.949390007
Pseudocheirus peregrinus,Pseudocheirus,SC,B,900.0,900.0,0,H,A,N,2.954242509,2.954242509,1,2.954242509
Oryctolagus cuniculus,Oryctolagus,SC,F,1570.0,1580.0,1,H,ST,CR,3.195899652,3.198657087,1,3.195899652
Oryctolagus cuniculus,Oryctolagus,SC,M,1590.0,1580.0,1,H,ST,CR,3.201397124,3.198657087,1,3.201397124
Trichosurus vulpecula,Trichosurus,SC,F,2350.0,2625.0,1,H,A,N,3.371067862,3.419129308,1,3.371067862
Trichosurus vulpecula,Trichosurus,SC,M,2900.0,2625.0,1,H,A,N,3.462397998,3.419129308,1,3.462397998
Lepus europaeus,Lepus,SC,M,3200.0,3350.0,1,H,ST,N,3.505149978,3.525044807,1,3.505149978
Lepus europaeus,Lepus,SC,F,3500.0,3350.0,1,H,ST,N,3.544068044,3.525044807,1,3.544068044
Felis catus,Felis,SC,F,3750.0,4550.0,1,A,T,N,3.574031268,3.658011397,1,3.574031268
Tachyglossus aculeatus,Tachyglossus,SC,B,4500.0,4500.0,0,A,ST,N,3.653212514,3.653212514,1,3.653212514
Felis catus,Felis,SC,M,5350.0,4550.0,1,A,T,N,3.728353782,3.658011397,1,3.728353782
Vulpes vulpes,Vulpes,SC,F,5400.0,5950.0,1,A,T,N,3.73239376,3.774516966,1,3.73239376
Macropus eugenii,Macropus,SC,F,5500.0,6500.0,1,H,T,N,3.740362689,3.812913357,4,3.740362689
Vulpes vulpes,Vulpes,SC,M,6500.0,5950.0,1,A,T,N,3.812913357,3.774516966,1,3.812913357
Macropus eugenii,Macropus,SC,M,7500.0,6500.0,1,H,T,N,3.875061263,3.812913357,4,3.875061263
Petrogale xanthopus,Petrogale,SC,B,8500.0,8500.0,0,H,T,N,3.929418926,3.929418926,1,3.929418926
Macropus robustus,Macropus,SC,F,17125.0,25375.0,1,H,T,N,4.23363058,4.404406051,4,4.23363058
Macropus rufus,Macropus,SC,F,25e3,4e4,1,H,T,N,4.397940009,4.602059991,4,4.397940009
Lasiorhinus latifrons,Lasiorhinus,SC,F,26750.0,27125.0,1,H,ST,N,4.427323786,4.433369747,1,4.427323786
Capra hircus,Capra,SC,F,27e3,33500.0,1,H,T,D,4.431363764,4.525044807,1,4.431363764
Lasiorhinus latifrons,Lasiorhinus,SC,M,27500.0,27125.0,1,H,ST,N,4.439332694,4.433369747,1,4.439332694
Macropus fuliginosus,Macropus,SC,F,28e3,36500.0,1,H,T,N,4.447158031,4.562292864,4,4.447158031
Macropus robustus,Macropus,SC,M,33625.0,25375.0,1,H,T,N,4.526662293,4.404406051,4,4.526662293
Capra hircus,Capra,SC,M,4e4,33500.0,1,H,T,D,4.602059991,4.525044807,1,4.602059991
Macropus fuliginosus,Macropus,SC,M,45e3,36500.0,1,H,T,N,4.653212514,4.562292864,4,4.653212514
Dama dama,Dama,SC,F,46e3,63e3,1,H,T,CR,4.662757832,4.799340549,1,4.662757832
Macropus rufus,Macropus,SC,M,55e3,4e4,1,H,T,N,4.740362689,4.602059991,4,4.740362689
Sus scrofa,Sus,SC,F,67500.0,86250.0,1,F,T,N,4.829303773,4.935759104,1,4.829303773
Dama dama,Dama,SC,M,8e4,63e3,1,H,T,CR,4.903089987,4.799340549,1,4.903089987
Cervus elaphus,Cervus,SC,F,92e3,119500.0,1,H,T,CR,4.963787827,5.077367905,1,4.963787827
Sus scrofa,Sus,SC,M,105e3,86250.0,1,F,T,N,5.021189299,4.935759104,1,5.021189299
Cervus elaphus,Cervus,SC,M,147e3,119500.0,1,H,T,CR,5.167317335,5.077367905,1,5.167317335
