scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis
Antechinus flavipes,SC,0,1,M,56.0,45.0,Antechinus,1.0,A,AT,N,1,1.7481880270062005,1.6532125137753437,1.7481880270062005
Antechinus flavipes,SC,0,1,F,34.0,45.0,Antechinus,1.0,A,AT,N,1,1.5314789170422551,1.6532125137753437,1.5314789170422551
Bettongia lesueur,SC,1,3,B,680.0,680.0,Bettongia,0.0,F,ST,N,2,2.832508912706236,2.832508912706236,2.832508912706236
Bettongia penicillata,SC,1,3,M,1415.0,1270.0,Bettongia,1.0,F,T,N,2,3.150756439860309,3.103803720955957,3.150756439860309
Bettongia penicillata,SC,1,3,F,1125.0,1270.0,Bettongia,1.0,F,T,N,2,3.0511525224473814,3.103803720955957,3.0511525224473814
Canis lupus,SC,1,3,M,15e3,14e3,Canis,1.0,A,T,N,1,4.176091259055681,4.146128035678238,4.176091259055681
Canis lupus,SC,1,3,F,13e3,14e3,Canis,1.0,A,T,N,1,4.113943352306837,4.146128035678238,4.113943352306837
Capra hircus,SC,0,2,M,4e4,33500.0,Capra,1.0,H,T,D,1,4.6020599913279625,4.525044807036846,4.6020599913279625
Capra hircus,SC,0,2,F,27e3,33500.0,Capra,1.0,H,T,D,1,4.431363764158987,4.525044807036846,4.431363764158987
Cercartetus concinnus,SC,0,3,B,13.0,13.0,Cercartetus,0.0,A,A,N,1,1.1139433523068367,1.1139433523068367,1.1139433523068367
Cervus elaphus,SC,0,1,M,147e3,119500.0,Cervus,1.0,H,T,CR,1,5.1673173347481764,5.077367905284157,5.1673173347481764
Cervus elaphus,SC,0,1,F,92e3,119500.0,Cervus,1.0,H,T,CR,1,4.963787827345556,5.077367905284157,4.963787827345556
Dama dama,SC,0,2,M,8e4,63e3,Dama,1.0,H,T,CR,1,4.903089986991944,4.799340549453582,4.903089986991944
Dama dama,SC,0,2,F,46e3,63e3,Dama,1.0,H,T,CR,1,4.662757831681574,4.799340549453582,4.662757831681574
Dasyurus geoffroii,SC,1,3,M,1310.0,1100.0,Dasyurus,1.0,A,ST,N,3,3.1172712956557644,3.041392685158225,3.1172712956557644
Dasyurus geoffroii,SC,1,3,F,890.0,1100.0,Dasyurus,1.0,A,ST,N,3,2.949390006644913,3.041392685158225,2.949390006644913
Dasyurus maculatus,SC,1,1,M,3e3,2500.0,Dasyurus,1.0,A,T,N,3,3.4771212547196626,3.3979400086720375,3.4771212547196626
Dasyurus maculatus,SC,1,1,F,2e3,2500.0,Dasyurus,1.0,A,T,N,3,3.3010299956639813,3.3979400086720375,3.3010299956639813
Dasyurus viverrinus,SC,1,2,M,1300.0,1090.0,Dasyurus,1.0,A,ST,N,3,3.113943352306837,3.037426497940624,3.113943352306837
Dasyurus viverrinus,SC,1,2,F,880.0,1090.0,Dasyurus,1.0,A,ST,N,3,2.9444826721501687,3.037426497940624,2.9444826721501687
Felis catus,SC,0,3,M,5350.0,4550.0,Felis,1.0,A,T,N,1,3.7283537820212285,3.6580113966571126,3.7283537820212285
Felis catus,SC,0,3,F,3750.0,4550.0,Felis,1.0,A,T,N,1,3.574031267727719,3.6580113966571126,3.574031267727719
Hydromys chrysogaster,SC,0,3,M,755.0,680.5,Hydromys,1.0,A,AT,N,1,2.8779469516291885,2.8328281295393536,2.8779469516291885
Hydromys chrysogaster,SC,0,3,F,606.0,680.5,Hydromys,1.0,A,AT,N,1,2.782472624166286,2.8328281295393536,2.782472624166286
Isoodon obesulus,SC,0,1,M,890.0,755.0,Isoodon,1.0,A,T,C,1,2.949390006644913,2.8779469516291885,2.949390006644913
Isoodon obesulus,SC,0,1,F,620.0,755.0,Isoodon,1.0,A,T,C,1,2.792391689498254,2.8779469516291885,2.792391689498254
Lasiorhinus latifrons,SC,0,1,M,27500.0,27125.0,Lasiorhinus,1.0,H,ST,N,1,4.439332693830263,4.433369746856586,4.439332693830263
Lasiorhinus latifrons,SC,0,1,F,26750.0,27125.0,Lasiorhinus,1.0,H,ST,N,1,4.427323786357247,4.433369746856586,4.427323786357247
Leporillus conditor,SC,1,1,B,350.0,350.0,Leporillus,0.0,H,T,N,1,2.5440680443502757,2.5440680443502757,2.5440680443502757
Lepus europaeus,SC,0,3,M,3200.0,3350.0,Lepus,1.0,H,ST,N,1,3.505149978319906,3.525044807036845,3.505149978319906
Lepus europaeus,SC,0,3,F,3500.0,3350.0,Lepus,1.0,H,ST,N,1,3.5440680443502757,3.525044807036845,3.5440680443502757
Macropus eugenii,SC,1,3,M,7500.0,6500.0,Macropus,1.0,H,T,N,4,3.8750612633917,3.8129133566428557,3.8750612633917
Macropus eugenii,SC,1,3,F,5500.0,6500.0,Macropus,1.0,H,T,N,4,3.7403626894942437,3.8129133566428557,3.7403626894942437
Macropus fuliginosus,SC,0,3,M,45e3,36500.0,Macropus,1.0,H,T,N,4,4.653212513775344,4.562292864456475,4.653212513775344
Macropus fuliginosus,SC,0,3,F,28e3,36500.0,Macropus,1.0,H,T,N,4,4.447158031342219,4.562292864456475,4.447158031342219
Macropus robustus,SC,0,3,M,33625.0,25375.0,Macropus,1.0,H,T,N,4,4.526662293010465,4.40440605092127,4.526662293010465
Macropus robustus,SC,0,3,F,17125.0,25375.0,Macropus,1.0,H,T,N,4,4.233630580164463,4.40440605092127,4.233630580164463
Macropus rufus,SC,0,3,M,55e3,4e4,Macropus,1.0,H,T,N,4,4.740362689494244,4.6020599913279625,4.740362689494244
Macropus rufus,SC,0,3,F,25e3,4e4,Macropus,1.0,H,T,N,4,4.3979400086720375,4.6020599913279625,4.3979400086720375
Macrotis lagotis,SC,1,3,M,1750.0,1350.0,Macrotis,1.0,A,ST,N,1,3.2430380486862944,3.130333768495006,3.2430380486862944
Macrotis lagotis,SC,1,3,F,950.0,1350.0,Macrotis,1.0,A,ST,N,1,2.9777236052888476,3.130333768495006,2.9777236052888476
Mus musculus,SC,0,3,B,16.5,16.5,Mus,0.0,F,T,N,1,1.2174839442139063,1.2174839442139063,1.2174839442139063
Myrmecobius fasciatus,SC,1,3,M,597.0,537.5,Myrmecobius,1.0,A,ST,D,1,2.775974331129369,2.730378468587643,2.775974331129369
Myrmecobius fasciatus,SC,1,3,F,478.0,537.5,Myrmecobius,1.0,A,ST,D,1,2.6794278966121188,2.730378468587643,2.6794278966121188
Oryctolagus cuniculus,SC,0,3,M,1590.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.2013971243204513,3.1986570869544226,3.2013971243204513
Oryctolagus cuniculus,SC,0,3,F,1570.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.1958996524092336,3.1986570869544226,3.1958996524092336
Perameles bougainville,SC,1,3,M,212.0,215.0,Perameles,1.0,A,T,N,1,2.326335860928751,2.3324384599156054,2.326335860928751
Perameles bougainville,SC,1,3,F,218.0,215.0,Perameles,1.0,A,T,N,1,2.3384564936046046,2.3324384599156054,2.3384564936046046
Petrogale xanthopus,SC,0,2,B,8500.0,8500.0,Petrogale,0.0,H,T,N,1,3.929418925714293,3.929418925714293,3.929418925714293
Phascogale tapoatafa,SC,1,1,M,231.0,193.5,Phascogale,1.0,A,A,N,2,2.3636119798921444,2.28668096935493,2.3636119798921444
Phascogale tapoatafa,SC,1,1,F,156.0,193.5,Phascogale,1.0,A,A,N,2,2.1931245983544616,2.28668096935493,2.1931245983544616
Phascolarctos cinereus,SC,1,1,M,12e3,10250.0,Phascolarctos,1.0,H,A,N,1,4.079181246047625,4.010723865391773,4.079181246047625
Phascolarctos cinereus,SC,1,1,F,8500.0,10250.0,Phascolarctos,1.0,H,A,N,1,3.929418925714293,4.010723865391773,3.929418925714293
