scientific,genus,avg_wt,dimorph,diet,strata,activity,log_avg_wt,reg_congen,logWtAnalysis,gap,gapNum,griLump,bcartLump
Sminthopsis crassicaudata,,15,0,A,T,N,1.176091259,3,1.176091259,0.296,NA,1,1
Mus musculus,,16.5,0,F,T,N,1.217483944,1,1.217483944,0.0712,NA,1,1
Sminthopsis murina,,17,1,A,T,N,1.230448921,3,1.230448921,0.5846,1,1,1
Sminthopsis macroura,,20,0,A,T,N,1.301029996,3,1.301029996,0.6348,1,2,1
Pseudomys shortridgei,,70,0,F,T,N,1.84509804,4,1.84509804,0.6479,1,3,2
Rattus lutreolus,,125,0,F,T,N,2.096910013,5,2.096910013,0.0802,NA,4,3
Perameles bougainville,,215,1,A,T,N,2.33243846,1,2.33243846,0.7819,1,5,3
Rattus rattus,,280,0,F,T,N,2.447158031,5,2.447158031,0.5614,1,6,3
Leporillus conditor,,350,0,H,T,N,2.544068044,1,2.544068044,0.9195,1,6,3
Isoodon obesulus,,755,1,A,T,C,2.877946952,1,2.877946952,0.6379,1,7,4
Bettongia penicillata,,1270,1,F,T,N,3.103803721,2,3.103803721,0.2374,NA,8,4
Dasyurus maculatus,,2500,1,A,T,N,3.397940009,3,3.397940009,0.2341,NA,9,5
Felis catus,,4550,1,A,T,N,3.658011397,1,3.658011397,0.7468,1,10,5
Vulpes vulpes,,5950,1,A,T,N,3.774516966,1,3.774516966,0.3216,NA,10,5
Macropus eugenii,,6500,1,H,T,N,3.812913357,4,3.812913357,0.7425,1,10,5
Petrogale xanthopus,,8500,0,H,T,N,3.929418926,1,3.929418926,0.5722,1,11,5
Canis lupus,,14000,1,A,T,C,4.146128036,1,4.146128036,0.939,1,11,6
Macropus robustus,,25375,1,H,T,N,4.404406051,4,4.404406051,0.0654,NA,12,6
Capra hircus,,33500,1,H,T,D,4.525044807,1,4.525044807,0.2479,NA,13,6
Macropus fuliginosus,,36500,1,H,T,N,4.562292864,4,4.562292864,0.2256,NA,13,6
Macropus rufus,,40000,1,H,T,N,4.602059991,4,4.602059991,0.7432,1,13,6
Dama dama,,63000,1,H,T,CR,4.799340549,1,4.799340549,0.4833,NA,14,6
Sus scrofa,,86250,1,F,T,N,4.935759104,1,4.935759104,0.3508,NA,14,6
Cervus elaphus,,119500,1,H,T,CR,5.077367905,1,5.077367905,NA,NA,14,6
Planigale tenuirostris,,6.05,1,A,ST,N,0.781755375,2,0.781755375,0.4719,NA,1,1
Planigale gilesi,,9.2,1,A,ST,CR,0.963787827,2,0.963787827,0.4784,NA,1,1
Pseudomys bolami,,12.5,0,F,ST,N,1.096910013,4,1.096910013,0.1594,NA,1,1
Pseudomys desertor,,25,0,F,ST,N,1.397940009,4,1.397940009,0.9128,1,2,1
Pseudomys australis,,40,0,F,ST,N,1.602059991,4,1.602059991,0.4217,NA,2,2
Rattus tunneyi,,86,0,F,ST,N,1.934498451,5,1.934498451,0.8539,1,3,2
Rattus fuscipes,,132.5,0,F,ST,N,2.122215878,5,2.122215878,0.8687,1,5,3
Rattus norvegicus,,320,0,F,ST,N,2.505149978,5,2.505149978,0.3603,NA,6,3
Myrmecobius fasciatus,,537.5,1,A,ST,D,2.730378469,1,2.730378469,0.7526,1,7,4
Bettongia lesueur,,680,0,F,ST,N,2.832508913,2,2.832508913,0.0857,NA,7,4
Dasyurus viverrinus,,1090,1,A,ST,N,3.037426498,3,3.037426498,0.0834,NA,8,4
Dasyurus geoffroii,,1100,1,A,ST,N,3.041392685,3,3.041392685,0.562,1,8,4
Macrotis lagotis,,1350,1,A,ST,N,3.130333768,1,3.130333768,0.5566,1,8,4
Oryctolagus cuniculus,,1580,1,H,ST,CR,3.198657087,1,3.198657087,0.9321,1,8,4
Lepus europaeus,,3350,1,H,ST,N,3.525044807,1,3.525044807,0.799,1,9,5
Tachyglossus aculeatus,,4500,0,A,ST,N,3.653212514,1,3.653212514,0.0799,NA,10,5
Vombatus ursinus,,26000,0,H,ST,N,4.414973348,1,4.414973348,0.1795,NA,12,6
Lasiorhinus latifrons,,27125,1,H,ST,N,4.433369747,1,4.433369747,0.5641,1,12,6
Antechinus flavipes,,45,1,A,AT,N,1.653212514,1,1.653212514,0.5303,1,3,2
Phascogale calura,,51.5,1,A,AT,N,1.711807229,2,1.711807229,0.7936,1,3,2
Hydromys chrysogaster,,680.5,1,A,AT,N,2.83282813,1,2.83282813,0.4706,NA,7,4
Acrobates pygmaeus,,12,0,F,A,N,1.079181246,1,1.079181246,0.1272,NA,1,1
Cercartetus concinnus,,13,0,A,A,N,1.113943352,1,1.113943352,0.4446,NA,1,1
Petaurus breviceps,,127.5,1,F,A,N,2.105510185,1,2.105510185,0.2215,NA,4,3
Phascogale tapoatafa,,193.5,1,A,A,N,2.286680969,2,2.286680969,0.45,NA,5,3
Pseudocheirus peregrinus,,900,0,H,A,N,2.954242509,1,2.954242509,0.6465,1,7,4
Trichosurus vulpecula,,2625,1,H,A,N,3.419129308,1,3.419129308,0.7288,1,9,5
Phascolarctos cinereus,,10250,1,H,A,N,4.010723865,1,4.010723865,0.7531,1,11,5
