scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,logWtAnalysis,log_avg_wt
Antechinus flavipes,SW,0,2,M,56.0,45.0,Antechinus,1.0,A,AT,N,1,1.7481880270062005,1.7481880270062005,1.6532125137753437
Antechinus flavipes,SW,0,2,F,34.0,45.0,Antechinus,1.0,A,AT,N,1,1.5314789170422551,1.5314789170422551,1.6532125137753437
Bettongia lesueur,SW,1,2,B,680.0,680.0,Bettongia,0.0,F,ST,N,2,2.832508912706236,2.832508912706236,2.832508912706236
Bettongia penicillata,SW,1,3,M,1415.0,1270.0,Bettongia,1.0,F,T,N,2,3.150756439860309,3.150756439860309,3.103803720955957
Bettongia penicillata,SW,1,3,F,1125.0,1270.0,Bettongia,1.0,F,T,N,2,3.0511525224473814,3.0511525224473814,3.103803720955957
Canis lupus,SW,0,2,M,15e3,14e3,Canis,1.0,A,T,C,1,4.176091259055681,4.176091259055681,4.146128035678238
Canis lupus,SW,0,2,F,13e3,14e3,Canis,1.0,A,T,C,1,4.113943352306837,4.113943352306837,4.146128035678238
Capra hircus,SW,0,1,M,4e4,33500.0,Capra,1.0,H,T,D,1,4.6020599913279625,4.6020599913279625,4.525044807036846
Capra hircus,SW,0,1,F,27e3,33500.0,Capra,1.0,H,T,D,1,4.431363764158987,4.431363764158987,4.525044807036846
Cercartetus concinnus,SW,0,3,B,13.0,13.0,Cercartetus,0.0,A,A,N,1,1.1139433523068367,1.1139433523068367,1.1139433523068367
Dasyurus geoffroii,SW,0,3,M,1310.0,1100.0,Dasyurus,1.0,A,ST,N,1,3.1172712956557644,3.1172712956557644,3.041392685158225
Dasyurus geoffroii,SW,0,3,F,890.0,1100.0,Dasyurus,1.0,A,ST,N,1,2.949390006644913,2.949390006644913,3.041392685158225
Felis catus,SW,0,3,M,5350.0,4550.0,Felis,1.0,A,T,N,1,3.7283537820212285,3.7283537820212285,3.6580113966571126
