scientific,genus,region,sex,wt,avg_wt,dimorph,diet,strata,activity,log_wt,log_avg_wt,reg_congen,logWtAnalysis,gap,gapNum,griLump,griEdge,bcartLump,bcartEdge,ssdSplitGRI,ssdSplitBCART
Hydromys chrysogaster,Hydromys,SW,F,606,680.5,1,A,AT,N,2.782472624,2.83282813,1,2.782472624,0.1518,NA,8,,4,,0,0
Hydromys chrysogaster,Hydromys,SW,M,755,680.5,1,A,AT,N,2.877946952,2.83282813,1,2.877946952,0.7969,1,8,,4,,0,0
Sminthopsis dolichura,Sminthopsis,SW,F,12.4,13.6,1,A,T,N,1.093421685,1.133538908,6,1.093421685,0.1556,NA,1,,1,,0,0
Sminthopsis dolichura,Sminthopsis,SW,M,14.8,13.6,1,A,T,N,1.170261715,1.133538908,6,1.170261715,0.0816,NA,1,,1,,0,0
Sminthopsis crassicaudata,Sminthopsis,SW,B,15,15,0,A,T,N,1.176091259,1.176091259,6,1.176091259,0.0854,NA,1,,1,,0,0
Sminthopsis hirtipes,Sminthopsis,SW,B,15,15,0,A,T,N,1.176091259,1.176091259,6,1.176091259,0.263,NA,1,,1,,0,0
Sminthopsis griseoventer,Sminthopsis,SW,F,16,17.5,1,A,T,N,1.204119983,1.243038049,6,1.204119983,0.1048,NA,1,,1,,0,0
Mus musculus,Mus,SW,B,16.5,16.5,0,F,T,N,1.217483944,1.217483944,1,1.217483944,0.4514,NA,1,,1,,0,0
Sminthopsis gilberti,Sminthopsis,SW,B,18,18,0,A,T,N,1.255272505,1.255272505,6,1.255272505,0.3174,NA,1,,1,,0,0
Sminthopsis griseoventer,Sminthopsis,SW,M,19,17.5,1,A,T,N,1.278753601,1.243038049,6,1.278753601,0.87,1,1,,1,,0,0
Sminthopsis granulipes,Sminthopsis,SW,B,25,25,0,A,T,N,1.397940009,1.397940009,6,1.397940009,0.3324,NA,2,,1,,0,0
Pseudomys nanus,Pseudomys,SW,F,31,32.5,1,F,T,N,1.491361694,1.511883361,7,1.491361694,0.519,NA,3,1.491361694,2,1.491361694,0,0
Pseudomys nanus,Pseudomys,SW,M,34,32.5,1,F,T,N,1.531478917,1.511883361,7,1.531478917,0.137,NA,3,,2,,0,0
Pseudomys fieldi,Pseudomys,SW,B,45,45,0,F,T,N,1.653212514,1.653212514,7,1.653212514,0.7614,1,4,,2,,0,0
Parantechinus apicalis,Parantechinus,SW,F,57.5,68.75,1,A,T,CR,1.759667845,1.837272703,1,1.759667845,0.3756,NA,4,,2,,1,0
Pseudomys shortridgei,Pseudomys,SW,B,70,70,0,F,T,N,1.84509804,1.84509804,7,1.84509804,0.674,NA,5,1.84509804,2,,0,0
Parantechinus apicalis,Parantechinus,SW,M,80,68.75,1,A,T,CR,1.903089987,1.837272703,1,1.903089987,0.5537,NA,5,,2,,1,0
Perameles bougainville,Perameles,SW,M,212,215,1,A,T,N,2.326335861,2.33243846,1,2.326335861,0.1414,NA,6,,3,,0,0
Perameles bougainville,Perameles,SW,F,218,215,1,A,T,N,2.338456494,2.33243846,1,2.338456494,0.3908,NA,6,,3,,0,0
Rattus rattus,Rattus,SW,B,280,280,0,F,T,N,2.447158031,2.447158031,4,2.447158031,0.683,NA,7,2.447158031,3,,0,0
Leporillus conditor,Leporillus,SW,B,350,350,0,H,T,N,2.544068044,2.544068044,1,2.544068044,0.9615,1,7,,3,,0,0
Isoodon obesulus,Isoodon,SW,F,620,755,1,A,T,C,2.792391689,2.877946952,1,2.792391689,0.5816,NA,8,,4,,1,1
Isoodon obesulus,Isoodon,SW,M,890,755,1,A,T,C,2.949390007,2.877946952,1,2.949390007,0.154,NA,9,,5,,1,1
Potorous gilbertii,Potorous,SW,F,912,948.5,1,F,T,N,2.959994838,2.977037335,2,2.959994838,0.4096,NA,9,,5,,0,0
