scientific,region,corrected
Antechinus flavipes,SW,1
Antechinus flavipes,SC,1
Canis lupus,SW,1
Capra hircus,SW,1
Capra hircus,SC,1
Cercartetus concinnus,SC,1
Cercartetus concinnus,SW,1
Cervus elaphus,SW,1
Cervus elaphus,SC,1
Dama dama,SC,1
Dasyurus geoffroii,SW,1
Felis catus,SW,1
Felis catus,SC,1
Hydromys chrysogaster,SW,1
Hydromys chrysogaster,SC,1
Isoodon obesulus,SC,1
Isoodon obesulus,SW,1
Lasiorhinus latifrons,SC,1
Lepus europaeus,SC,1
Macropus eugenii,SC,1
Macropus eugenii,SW,1
Macropus fuliginosus,SC,1
Macropus fuliginosus,SW,1
Macropus irma,SW,1
Macropus robustus,SC,1
Macropus robustus,SW,1
Macropus rufus,SC,1
Macropus rufus,SW,1
Mus musculus,SW,1
Mus musculus,SC,1
Notomys alexis,SW,1
Notomys mitchelli,SW,1
Oryctolagus cuniculus,SW,1
Oryctolagus cuniculus,SC,1
Parantechinus apicalis,SW,1
Petaurus breviceps,SC,1
Petrogale xanthopus,SC,1
Phascogale calura,SW,1
Phascogale tapoatafa,SW,1
Planigale gilesi,SC,1
Planigale tenuirostris,SC,1
Potorous gilbertii,SW,1
Pseudocheirus occidentalis,SW,1
Pseudocheirus peregrinus,SC,1
Pseudomys albocinereus,SW,1
Pseudomys bolami,SC,1
Pseudomys desertor,SC,1
Pseudomys hermannsburgensis,SW,1
Pseudomys shortridgei,SW,1
Rattus fuscipes,SC,1
Rattus fuscipes,SW,1
Rattus lutreolus,SC,1
Rattus norvegicus,SC,1
Rattus norvegicus,SW,1
Rattus rattus,SC,1
Rattus rattus,SW,1
Setonix brachyurus,SW,1
Sminthopsis crassicaudata,SC,1
Sminthopsis crassicaudata,SW,1
Sminthopsis dolichura,SW,1
Sminthopsis gilberti,SW,1
Sminthopsis granulipes,SW,1
Sminthopsis griseoventer,SW,1
Sminthopsis hirtipes,SW,1
Sminthopsis macroura,SC,1
Sminthopsis murina,SC,1
Sus scrofa,SW,1
Sus scrofa,SC,1
Tachyglossus aculeatus,SC,1
Tachyglossus aculeatus,SW,1
Tarsipes rostratus,SW,1
Trichosurus vulpecula,SC,1
Trichosurus vulpecula,SW,1
Vulpes vulpes,SW,1
Vulpes vulpes,SC,1
