scientific,lsRatio,log_wt,Group,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,log_avg_wt,distEdge,activityBin,lumpCongener,leadDistLogWt,lagDistLogWt,row_number(),distNearestNeighbor
Planigale tenuirostris,1.283018868,0.7243,1,F,5.3,6.05,Planigale,1,A,ST,N,0.7818,0.0,Nocturnal,2,0.10819999999999996,NA,1,0.10819999999999996
Planigale tenuirostris,1.283018868,0.8325,1,M,6.8,6.05,Planigale,1,A,ST,N,0.7818,0.0,Nocturnal,2,0.006299999999999972,0.10819999999999996,2,0.006299999999999972
Planigale gilesi,1.666666667,0.8388,1,F,6.9,9.2,Planigale,1,A,ST,CR,0.9638,0.18199999999999994,Diurnal,2,0.2219,0.006299999999999972,3,0.006299999999999972
Planigale gilesi,1.666666667,1.0607,1,M,11.5,9.2,Planigale,1,A,ST,CR,0.9638,0.18199999999999994,Diurnal,2,0.03620000000000001,0.2219,4,0.03620000000000001
Pseudomys bolami,1.0,1.0969,1,B,12.5,12.5,Pseudomys,0,F,ST,N,1.0969,0.31509999999999994,Nocturnal,2,0.016999999999999904,0.03620000000000001,5,0.016999999999999904
Cercartetus concinnus,1.0,1.1139,1,B,13.0,13.0,Cercartetus,0,A,A,N,1.1139,0.33209999999999984,Nocturnal,1,0.032200000000000006,0.016999999999999904,6,0.016999999999999904
Sminthopsis murina,1.428571429,1.1461,1,F,14.0,17.0,Sminthopsis,1,A,T,N,1.2304,0.42280000000000006,Nocturnal,3,0.030000000000000027,0.032200000000000006,7,0.030000000000000027
Sminthopsis crassicaudata,1.0,1.1761,1,B,15.0,15.0,Sminthopsis,0,A,T,N,1.1761,0.3942999999999999,Nocturnal,3,0.0414000000000001,0.030000000000000027,8,0.030000000000000027
Mus musculus,1.0,1.2175,1,B,16.5,16.5,Mus,0,F,T,N,1.2175,0.4357,Nocturnal,1,0.08349999999999991,0.0414000000000001,9,0.0414000000000001
Sminthopsis macroura,1.0,1.301,1,B,20.0,20.0,Sminthopsis,0,A,T,N,1.301,0.35220000000000007,Nocturnal,3,0.0,0.08349999999999991,10,0.0
Sminthopsis murina,1.428571429,1.301,1,M,20.0,17.0,Sminthopsis,1,A,T,N,1.2304,0.42280000000000006,Nocturnal,3,0.09689999999999999,0.0,11,0.0
Pseudomys desertor,1.0,1.3979,1,B,25.0,25.0,Pseudomys,0,F,ST,N,1.3979,0.2553000000000001,Nocturnal,2,0.13360000000000016,0.09689999999999999,12,0.09689999999999999
Antechinus flavipes,1.647058824,1.5315,1,F,34.0,45.0,Antechinus,1,A,AT,N,1.6532,0.0,Nocturnal,1,0.2166999999999999,0.13360000000000016,13,0.13360000000000016
Antechinus flavipes,1.647058824,1.7482,1,M,56.0,45.0,Antechinus,1,A,AT,N,1.6532,0.0,Nocturnal,1,NA,0.2166999999999999,14,0.2166999999999999
Rattus fuscipes,1.0,2.1222,2,B,132.5,132.5,Rattus,0,F,ST,N,2.1222,0.0,Nocturnal,2,0.07089999999999996,NA,15,0.07089999999999996
Phascogale tapoatafa,1.480769231,2.1931,2,F,156.0,193.5,Phascogale,1,A,A,N,2.2867,0.1645000000000003,Nocturnal,1,0.13319999999999999,0.07089999999999996,16,0.07089999999999996
Perameles bougainville,1.028301887,2.3263,2,M,212.0,215.0,Perameles,1,A,T,N,2.3324,0.21019999999999994,Nocturnal,1,0.012199999999999989,0.13319999999999999,17,0.012199999999999989
Perameles bougainville,1.028301887,2.3385,2,F,218.0,215.0,Perameles,1,A,T,N,2.3324,0.21019999999999994,Nocturnal,1,0.025100000000000122,0.012199999999999989,18,0.012199999999999989
