,scientific,genus,region.x,sex,wt,avg_wt,dimorph,diet,strata,activity,log_wt,log_avg_wt,reg_congen,logWtAnalysis,gap,gapNum,2RuleGap,singleRuleGap,3RuleGap
1,Planigale tenuirostris,Planigale,SC,F,5.3,6.05,1,A,ST,N,0.72427587,0.781755375,2,0.781755375,0.3059,NA,1,1,1
2,Planigale gilesi,Planigale,SC,F,6.9,9.2,1,A,ST,CR,0.838849091,0.963787827,2,0.963787827,0.3646,1,1,1,1
3,Pseudomys bolami,Pseudomys,SC,B,12.5,12.5,0,F,ST,N,1.096910013,1.096910013,4,1.096910013,0.0367,NA,2,2,1
4,Cercartetus concinnus,Cercartetus,SC,B,13,13,0,A,A,N,1.113943352,1.113943352,1,1.113943352,0.2702,NA,2,2,1
5,Sminthopsis crassicaudata,Sminthopsis,SC,B,15,15,0,A,T,N,1.176091259,1.176091259,3,1.176091259,0.2188,NA,2,2,1
6,Mus musculus,Mus,SC,B,16.5,16.5,0,F,T,N,1.217483944,1.217483944,1,1.217483944,0.0535,NA,2,2,1
7,Sminthopsis murina,Sminthopsis,SC,F,14,17,1,A,T,N,1.146128036,1.230448921,3,1.230448921,0.3273,NA,2,2,1
8,Sminthopsis macroura,Sminthopsis,SC,B,20,20,0,A,T,N,1.301029996,1.301029996,3,1.301029996,0.4711,1,2,2,1
9,Pseudomys desertor,Pseudomys,SC,B,25,25,0,F,ST,N,1.397940009,1.397940009,4,1.397940009,0.8274,1,3,3,1
10,Antechinus flavipes,Antechinus,SC,F,34,45,1,A,AT,N,1.531478917,1.653212514,1,1.653212514,0.9536,1,3,4,1
11,Rattus lutreolus,Rattus,SC,B,125,125,0,F,T,N,2.096910013,2.096910013,5,2.096910013,0.0571,NA,4,5,2
12,Petaurus breviceps,Petaurus,SC,F,115,127.5,1,F,A,N,2.06069784,2.105510185,1,2.105510185,0.059,NA,4,5,2
13,Rattus fuscipes,Rattus,SC,B,132.5,132.5,0,F,ST,N,2.122215878,2.122215878,5,2.122215878,0.8904,1,4,5,2
14,Rattus rattus,Rattus,SC,B,280,280,0,F,T,N,2.447158031,2.447158031,5,2.447158031,0.3494,NA,5,6,3
15,Rattus norvegicus,Rattus,SC,B,320,320,0,F,ST,N,2.505149978,2.505149978,5,2.505149978,0.9065,1,5,6,3
16,Hydromys chrysogaster,Hydromys,SC,F,606,680.5,1,A,AT,N,2.782472624,2.83282813,1,2.83282813,0.2709,NA,6,7,3
17,Isoodon obesulus,Isoodon,SC,F,620,755,1,A,T,C,2.792391689,2.877946952,1,2.877946952,0.4334,1,6,7,3
18,Pseudocheirus peregrinus,Pseudocheirus,SC,B,900,900,0,H,A,N,2.954242509,2.954242509,1,2.954242509,0.829,1,7,8,3
19,Oryctolagus cuniculus,Oryctolagus,SC,F,1570,1580,1,H,ST,CR,3.195899652,3.198657087,1,3.198657087,0.8029,1,7,9,4
20,Trichosurus vulpecula,Trichosurus,SC,F,2350,2625,1,H,A,N,3.371067862,3.419129308,1,3.419129308,0.5109,1,8,10,4
21,Lepus europaeus,Lepus,SC,M,3200,3350,1,H,ST,N,3.505149978,3.525044807,1,3.525044807,0.6233,1,8,11,4
22,Tachyglossus aculeatus,Tachyglossus,SC,B,4500,4500,0,A,ST,N,3.653212514,3.653212514,1,3.653212514,0.0606,NA,9,12,5
23,Felis catus,Felis,SC,F,3750,4550,1,A,T,N,3.574031268,3.658011397,1,3.658011397,0.563,1,9,12,5
24,Vulpes vulpes,Vulpes,SC,F,5400,5950,1,A,T,N,3.73239376,3.774516966,1,3.774516966,0.2729,NA,10,13,5
25,Macropus eugenii,Macropus,SC,F,5500,6500,1,H,T,N,3.740362689,3.812913357,4,3.812913357,0.5579,1,10,13,5
26,Petrogale xanthopus,Petrogale,SC,B,8500,8500,0,H,T,N,3.929418926,3.929418926,1,3.929418926,0.9646,1,10,14,5
27,Macropus robustus,Macropus,SC,F,17125,25375,1,H,T,N,4.23363058,4.404406051,4,4.404406051,0.1554,NA,11,15,6
28,Lasiorhinus latifrons,Lasiorhinus,SC,F,26750,27125,1,H,ST,N,4.427323786,4.433369747,1,4.433369747,0.4479,1,11,15,6
29,Capra hircus,Capra,SC,F,27000,33500,1,H,T,D,4.431363764,4.525044807,1,4.525044807,0.2235,NA,12,16,6
30,Macropus fuliginosus,Macropus,SC,F,28000,36500,1,H,T,N,4.447158031,4.562292864,4,4.562292864,0.1921,NA,12,16,6
31,Macropus rufus,Macropus,SC,F,25000,40000,1,H,T,N,4.397940009,4.602059991,4,4.602059991,0.5491,1,12,16,6
32,Dama dama,Dama,SC,F,46000,63000,1,H,T,CR,4.662757832,4.799340549,1,4.799340549,0.3432,NA,13,17,7
33,Sus scrofa,Sus,SC,F,67500,86250,1,F,T,N,4.829303773,4.935759104,1,4.935759104,0.2208,NA,13,17,7
34,Cervus elaphus,Cervus,SC,F,92000,119500,1,H,T,CR,4.963787827,5.077367905,1,5.077367905,NA,NA,13,17,7
