scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis,griLump,domSize,lsRatiolog,lsRatio,rank,distEdgeGRI,fwd,bwd,distCongener,regionalCongener,lumpCongener,distNeighbor,activityBin
Planigale tenuirostris,SC,0,2,F,5.3,6.05,Planigale,1,A,ST,N,2,0.724275869600789,0.7817553746524689,0.724275869600789,1,smaller,0.10823304310544725,1.2830188679245282,1,0.0,0.9637878273455552,NA,-0.18203245269308632,2,2,0.18203245269308632,Nocturnal
Planigale gilesi,SC,0,1,F,6.9,9.2,Planigale,1,A,ST,CR,2,0.8388490907372553,0.9637878273455552,0.8388490907372553,1,smaller,0.22184874961635634,1.6666666666666665,3,0.18203245269308632,1.0969100130080565,0.7817553746524689,0.18203245269308632,2,2,0.18203245269308632,Diurnal
Pseudomys bolami,SC,0,2,B,12.5,12.5,Pseudomys,0,F,ST,N,2,1.0969100130080565,1.0969100130080565,1.0969100130080565,1,smaller,0.0,1.0,5,0.31515463835558755,1.1139433523068367,0.9637878273455552,-0.30102999566398125,2,2,0.13312218566250122,Nocturnal
Cercartetus concinnus,SC,0,3,B,13.0,13.0,Cercartetus,0,A,A,N,1,1.1139433523068367,1.1139433523068367,1.1139433523068367,1,smaller,0.0,1.0,6,0.3321879776543678,1.1760912590556813,1.0969100130080565,-Inf,1,1,0.01703333929878026,Nocturnal
Sminthopsis murina,SC,0,1,F,14.0,17.0,Sminthopsis,1,A,T,N,3,1.146128035678238,1.2304489213782739,1.146128035678238,1,smaller,0.1549019599857432,1.4285714285714286,7,0.42276359239706984,1.3010299956639813,1.2174839442139063,0.05435766232259254,3,3,0.01296497716436762,Nocturnal
Sminthopsis crassicaudata,SC,0,3,B,15.0,15.0,Sminthopsis,0,A,T,N,3,1.1760912590556813,1.1760912590556813,1.1760912590556813,1,smaller,0.0,1.0,8,0.39433588440321243,1.2174839442139063,1.1139433523068367,-0.05435766232259254,3,3,0.06214790674884463,Nocturnal
Mus musculus,SC,0,3,B,16.5,16.5,Mus,0,F,T,N,1,1.2174839442139063,1.2174839442139063,1.2174839442139063,1,smaller,0.0,1.0,9,0.43572856956143746,1.2304489213782739,1.1760912590556813,-Inf,1,1,0.04139268515822492,Nocturnal
Sminthopsis macroura,SC,0,2,B,20.0,20.0,Sminthopsis,0,A,T,N,3,1.3010299956639813,1.3010299956639813,1.3010299956639813,1,smaller,0.0,1.0,10,0.3521825181113625,1.3979400086720377,1.2304489213782739,0.07058107428570737,3,3,0.07058107428570737,Nocturnal
Pseudomys desertor,SC,0,2,B,25.0,25.0,Pseudomys,0,F,ST,N,2,1.3979400086720377,1.3979400086720377,1.3979400086720377,1,smaller,0.0,1.0,12,0.255272505103306,1.6532125137753437,1.3010299956639813,0.30102999566398125,2,2,0.09691001300805646,Nocturnal
Antechinus flavipes,SC,0,1,F,34.0,45.0,Antechinus,1,A,AT,N,1,1.5314789170422551,1.6532125137753437,1.5314789170422551,1,smaller,0.21670910996394527,1.6470588235294117,13,0.0,2.1222158782728267,1.3979400086720377,-Inf,1,1,0.255272505103306,Nocturnal
