scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis,rank
Tarsipes rostratus,SW,0,3,B,9.0,9.0,Tarsipes,0.0,F,A,N,1,0.954242509,0.954242509,0.954242509,1
Pseudomys hermannsburgensis,SW,0,1,B,12.0,12.0,Pseudomys,0.0,F,ST,N,5,1.079181246,1.079181246,1.079181246,2
Sminthopsis dolichura,SW,0,2,F,12.4,13.6,Sminthopsis,1.0,A,T,N,5,1.093421685,1.133538908,1.093421685,3
Cercartetus concinnus,SW,0,3,B,13.0,13.0,Cercartetus,0.0,A,A,N,1,1.113943352,1.113943352,1.113943352,4
Sminthopsis dolichura,SW,0,2,M,14.8,13.6,Sminthopsis,1.0,A,T,N,5,1.170261715,1.133538908,1.170261715,5
Sminthopsis crassicaudata,SW,0,3,B,15.0,15.0,Sminthopsis,0.0,A,T,N,5,1.1760912590000001,1.1760912590000001,1.1760912590000001,6
Sminthopsis griseoventer,SW,0,3,F,16.0,17.5,Sminthopsis,1.0,A,T,N,5,1.204119983,1.243038049,1.204119983,7
Mus musculus,SW,0,3,B,16.5,16.5,Mus,0.0,F,T,N,1,1.217483944,1.217483944,1.217483944,8
Sminthopsis gilberti,SW,0,2,B,18.0,18.0,Sminthopsis,0.0,A,T,N,5,1.255272505,1.255272505,1.255272505,9
Sminthopsis griseoventer,SW,0,3,M,19.0,17.5,Sminthopsis,1.0,A,T,N,5,1.278753601,1.243038049,1.278753601,10
Sminthopsis granulipes,SW,0,3,B,25.0,25.0,Sminthopsis,0.0,A,T,N,5,1.397940009,1.397940009,1.397940009,11
Pseudomys albocinereus,SW,0,3,F,26.0,30.5,Pseudomys,1.0,F,ST,N,5,1.414973348,1.484299839,1.414973348,12
Antechinus flavipes,SW,0,2,F,34.0,45.0,Antechinus,1.0,A,AT,N,1,1.531478917,1.653212514,1.531478917,13
Notomys alexis,SW,0,1,B,35.0,35.0,Notomys,0.0,F,ST,N,2,1.544068044,1.544068044,1.544068044,14
Pseudomys albocinereus,SW,0,3,M,35.0,30.5,Pseudomys,1.0,F,ST,N,5,1.544068044,1.484299839,1.544068044,15
