,scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,logWtAnalysis,log_avg_wt,discontinuity,discontinuityBinary,lumpNum
1,Tarsipes rostratus,SW,0,3,B,9,9,Tarsipes,0,F,A,N,1,0.954242509,0.954242509,0.954242509,0.33066,1,1
2,Pseudomys hermannsburgensis,SW,0,1,B,12,12,Pseudomys,0,F,ST,N,5,1.079181246,1.079181246,1.079181246,0.03799,1,1
3,Sminthopsis dolichura,SW,0,2,F,12.4,13.6,Sminthopsis,1,A,T,N,5,1.093421685,1.093421685,1.133538908,0.15125,1,1
4,Cercartetus concinnus,SW,0,3,B,13,13,Cercartetus,0,A,A,N,1,1.113943352,1.113943352,1.113943352,0.3758,1,1
5,Sminthopsis dolichura,SW,0,2,M,14.8,13.6,Sminthopsis,1,A,T,N,5,1.170261715,1.170261715,1.133538908,0.07242,1,1
6,Sminthopsis crassicaudata,SW,0,3,B,15,15,Sminthopsis,0,A,T,N,5,1.176091259,1.176091259,1.176091259,0.22463,1,1
7,Sminthopsis griseoventer,SW,0,3,F,16,17.5,Sminthopsis,1,A,T,N,5,1.204119983,1.204119983,1.243038049,0.08802,1,1
8,Mus musculus,SW,0,3,B,16.5,16.5,Mus,0,F,T,N,1,1.217483944,1.217483944,1.217483944,0.39151,1,1
9,Sminthopsis gilberti,SW,0,2,B,18,18,Sminthopsis,0,A,T,N,5,1.255272505,1.255272505,1.255272505,0.26734,1,1
10,Sminthopsis griseoventer,SW,0,3,M,19,17.5,Sminthopsis,1,A,T,N,5,1.278753601,1.278753601,1.243038049,0.8124,NA,1
11,Pseudomys desertor,SW,1,1,B,25,25,Pseudomys,0,F,ST,N,5,1.397940009,1.397940009,1.397940009,0.10509,1,2
12,Sminthopsis granulipes,SW,0,3,B,25,25,Sminthopsis,0,A,T,N,5,1.397940009,1.397940009,1.397940009,0.29513,1,2
13,Pseudomys albocinereus,SW,0,3,F,26,30.5,Pseudomys,1,F,ST,N,5,1.414973348,1.414973348,1.484299839,0.83858,NA,2
14,Antechinus flavipes,SW,0,2,F,34,45,Antechinus,1,A,AT,N,1,1.531478917,1.531478917,1.653212514,0.11181,1,3
15,Pseudomys occidentalis,SW,1,2,B,34,34,Pseudomys,0,F,ST,N,5,1.531478917,1.531478917,1.531478917,0.11303,1,3
16,Notomys alexis,SW,0,1,B,35,35,Notomys,0,F,ST,N,2,1.544068044,1.544068044,1.544068044,0.11447,1,3
17,Pseudomys albocinereus,SW,0,3,M,35,30.5,Pseudomys,1,F,ST,N,5,1.544068044,1.544068044,1.484299839,0.74761,NA,3
18,Phascogale calura,SW,0,2,F,43,51.5,Phascogale,1,A,AT,N,2,1.633468456,1.633468456,1.711807229,0.74872,NA,3
19,Notomys mitchelli,SW,0,3,B,52,52,Notomys,0,F,ST,N,2,1.716003344,1.716003344,1.716003344,0.4669,1,4
20,Antechinus flavipes,SW,0,2,M,56,45,Antechinus,1,A,AT,N,1,1.748188027,1.748188027,1.653212514,0.46916,1,4
21,Phascogale calura,SW,0,2,M,60,51.5,Phascogale,1,A,AT,N,2,1.77815125,1.77815125,1.711807229,0.47046,1,4
22,Rattus tunneyi,SW,1,2,B,66,66,Rattus,0,F,ST,N,4,1.819543936,1.819543936,1.819543936,0.31685,1,4
23,Pseudomys shortridgei,SW,0,3,B,70,70,Pseudomys,0,F,T,N,5,1.84509804,1.84509804,1.84509804,0.9923,NA,4
24,Rattus fuscipes,SW,0,2,B,132.5,132.5,Rattus,0,F,ST,N,4,2.122215878,2.122215878,2.122215878,0.68882,NA,5
25,Phascogale tapoatafa,SW,0,3,F,156,193.5,Phascogale,1,A,A,N,2,2.193124598,2.193124598,2.286680969,0.89437,NA,5
