,scientific,genus,region.x,sex,wt,avg_wt,dimorph,diet,strata,activity,log_wt,log_avg_wt,reg_congen,logWtAnalysis,gap,gapNum,2RuleGap,singleRuleGap,3RuleGap
1,Tarsipes rostratus,Tarsipes,SW,B,9,9,0,F,A,N,0.954242509,0.954242509,1,0.954242509,0.289,NA,1,1,1
2,Pseudomys hermannsburgensis,Pseudomys,SW,B,12,12,0,F,ST,N,1.079181246,1.079181246,7,1.079181246,0.1594,NA,1,1,1
3,Cercartetus concinnus,Cercartetus,SW,B,13,13,0,A,A,N,1.113943352,1.113943352,1,1.113943352,0.1305,NA,1,1,1
4,Sminthopsis dolichura,Sminthopsis,SW,F,12.4,13.6,1,A,T,N,1.093421685,1.133538908,6,1.133538908,0.2518,NA,1,1,1
5,Sminthopsis crassicaudata,Sminthopsis,SW,B,15,15,0,A,T,N,1.176091259,1.176091259,6,1.176091259,0.0589,NA,1,1,1
6,Sminthopsis hirtipes,Sminthopsis,SW,B,15,15,0,A,T,N,1.176091259,1.176091259,6,1.176091259,0.299,NA,1,1,1
7,Mus musculus,Mus,SW,B,16.5,16.5,0,F,T,N,1.217483944,1.217483944,1,1.217483944,0.1997,NA,1,1,1
8,Sminthopsis griseoventer,Sminthopsis,SW,F,16,17.5,1,A,T,N,1.204119983,1.243038049,6,1.243038049,0.0731,NA,1,1,1
9,Sminthopsis gilberti,Sminthopsis,SW,B,18,18,0,A,T,N,1.255272505,1.255272505,6,1.255272505,0.7884,1,1,1,1
10,Sminthopsis granulipes,Sminthopsis,SW,B,25,25,0,A,T,N,1.397940009,1.397940009,6,1.397940009,0.5977,1,2,2,2
11,Pseudomys albocinereus,Pseudomys,SW,F,26,30.5,1,F,ST,N,1.414973348,1.484299839,7,1.484299839,0.4395,NA,2,3,2
12,Notomys alexis,Notomys,SW,B,35,35,1,F,ST,N,1.544068044,1.544068044,2,1.544068044,0.6513,1,2,3,2
13,Antechinus flavipes,Antechinus,SW,F,34,45,1,A,AT,N,1.531478917,1.653212514,1,1.653212514,0.4307,NA,3,4,3
14,Phascogale calura,Phascogale,SW,F,43,51.5,1,A,AT,N,1.633468456,1.711807229,2,1.711807229,0.0766,NA,3,4,3
15,Notomys mitchelli,Notomys,SW,B,52,52,0,F,ST,N,1.716003344,1.716003344,2,1.716003344,0.7003,1,3,4,3
16,Parantechinus apicalis,Parantechinus,SW,F,57.5,68.75,1,A,T,CR,1.759667845,1.837272703,1,1.837272703,0.0652,NA,4,5,4
17,Pseudomys shortridgei,Pseudomys,SW,B,70,70,0,F,T,N,1.84509804,1.84509804,7,1.84509804,0.9287,1,4,5,4
18,Rattus fuscipes,Rattus,SW,B,132.5,132.5,0,F,ST,N,2.122215878,2.122215878,4,2.122215878,0.7879,1,5,6,4
19,Phascogale tapoatafa,Phascogale,SW,F,156,193.5,1,A,A,N,2.193124598,2.286680969,2,2.286680969,0.7856,1,5,7,5
20,Rattus rattus,Rattus,SW,B,280,280,0,F,T,N,2.447158031,2.447158031,4,2.447158031,0.384,NA,6,8,5
21,Rattus norvegicus,Rattus,SW,B,320,320,0,F,ST,N,2.505149978,2.505149978,4,2.505149978,0.9496,1,6,8,5
22,Hydromys chrysogaster,Hydromys,SW,F,606,680.5,1,A,AT,N,2.782472624,2.83282813,1,2.83282813,0.2949,NA,7,9,6
23,Isoodon obesulus,Isoodon,SW,F,620,755,1,A,T,C,2.792391689,2.877946952,1,2.877946952,0.5879,1,7,9,6
24,Potorous gilbertii,Potorous,SW,F,912,948.5,1,F,T,N,2.959994838,2.977037335,2,2.977037335,0.1851,NA,8,10,6
25,Pseudocheirus occidentalis,Pseudocheirus,SW,B,1000,1000,0,H,A,N,3,3,1,3,0.2928,NA,8,10,6
