scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,logWtAnalysis,log_avg_wt,griLump,domSize,lsRatiolog,lsRatio,rank,distEdgeGRI,fwd,bwd,distCongener,regionalCongener,lumpCongener,distNeighbor,activityBin
Tarsipes rostratus,SW,0,3,B,9.0,9.0,Tarsipes,0,F,A,N,1,0.9542425094393249,0.9542425094393249,0.9542425094393249,1,smaller,0.0,1.0,1,0.0,1.0791812460476249,NA,-Inf,1,1,0.12493873660830002,Nocturnal
Pseudomys hermannsburgensis,SW,0,1,B,12.0,12.0,Pseudomys,0,F,ST,N,5,1.0791812460476249,1.0791812460476249,1.0791812460476249,1,smaller,0.0,1.0,2,0.12493873660830002,1.1139433523068367,0.9542425094393249,-0.31875876262441283,5,1,0.12493873660830002,Nocturnal
Sminthopsis dolichura,SW,0,2,F,12.4,13.6,Sminthopsis,1,A,T,N,5,1.0934216851622351,1.0934216851622351,1.1335389083702174,1,smaller,0.07684003023272233,1.1935483870967742,3,0.17929639893089255,1.1760912590556813,1.1139433523068367,-0.042552350685463924,5,4,0.019595556063380704,Nocturnal
Cercartetus concinnus,SW,0,3,B,13.0,13.0,Cercartetus,0,A,A,N,1,1.1139433523068367,1.1139433523068367,1.1139433523068367,1,smaller,0.0,1.0,4,0.15970084286751185,1.1335389083702174,1.0791812460476249,-Inf,1,1,0.034762106259211834,Nocturnal
Sminthopsis crassicaudata,SW,0,3,B,15.0,15.0,Sminthopsis,0,A,T,N,5,1.1760912590556813,1.1760912590556813,1.1760912590556813,1,smaller,0.0,1.0,6,0.07918124604762466,1.2174839442139063,1.1335389083702174,0.042552350685463924,5,4,0.042552350685463924,Nocturnal
Sminthopsis griseoventer,SW,0,3,F,16.0,17.5,Sminthopsis,1,A,T,N,5,1.2041199826559248,1.2041199826559248,1.2430380486862944,1,smaller,0.07463361829690418,1.1875,7,0.012234456417011597,1.255272505103306,1.2174839442139063,0.06694678963061307,5,4,0.02555410447238815,Nocturnal
Mus musculus,SW,0,3,B,16.5,16.5,Mus,0,F,T,N,1,1.2174839442139063,1.2174839442139063,1.2174839442139063,1,smaller,0.0,1.0,8,0.03778856088939975,1.2430380486862944,1.1760912590556813,-Inf,1,1,0.04139268515822492,Nocturnal
Sminthopsis gilberti,SW,0,2,B,18.0,18.0,Sminthopsis,0,A,T,N,5,1.255272505103306,1.255272505103306,1.255272505103306,1,smaller,0.0,1.0,9,0.0,1.3979400086720377,1.2430380486862944,0.012234456417011597,5,4,0.012234456417011597,Nocturnal
Pseudomys desertor,SW,1,1,B,25.0,25.0,Pseudomys,0,F,ST,N,5,1.3979400086720377,1.3979400086720377,1.3979400086720377,2,smaller,0.0,1.0,11,0.0,1.3979400086720377,1.255272505103306,0.31875876262441283,5,3,0.1426675035687317,Nocturnal
Sminthopsis granulipes,SW,0,3,B,25.0,25.0,Sminthopsis,0,A,T,N,5,1.3979400086720377,1.3979400086720377,1.3979400086720377,2,smaller,0.0,1.0,12,0.0,1.4842998393467859,1.3979400086720377,0.1426675035687317,5,1,0.0,Nocturnal
Pseudomys albocinereus,SW,0,3,F,26.0,30.5,Pseudomys,1,F,ST,N,5,1.414973347970818,1.414973347970818,1.4842998393467859,2,smaller,0.1290946963794577,1.3461538461538463,13,0.08635983067474817,1.5314789170422551,1.3979400086720377,0.08635983067474817,5,3,0.08635983067474817,Nocturnal
Antechinus flavipes,SW,0,2,F,34.0,45.0,Antechinus,1,A,AT,N,1,1.5314789170422551,1.5314789170422551,1.6532125137753437,3,smaller,0.21670910996394527,1.6470588235294117,14,0.0,1.711807229041191,1.5440680443502757,-Inf,1,1,0.10914446942506806,Nocturnal
Pseudomys occidentalis,SW,1,2,B,34.0,34.0,Pseudomys,0,F,ST,N,5,1.5314789170422551,1.5314789170422551,1.5314789170422551,2,smaller,0.0,1.0,15,0.012589127308020531,1.5440680443502757,1.4842998393467859,0.04717907769546925,5,3,0.04717907769546925,Nocturnal
Notomys alexis,SW,0,1,B,35.0,35.0,Notomys,0,F,ST,N,2,1.5440680443502757,1.5440680443502757,1.5440680443502757,2,smaller,0.0,1.0,16,0.0,1.6532125137753437,1.5314789170422551,-0.17193529928452356,2,1,0.012589127308020531,Nocturnal
Phascogale calura,SW,0,2,F,43.0,51.5,Phascogale,1,A,AT,N,2,1.6334684555795864,1.6334684555795864,1.711807229041191,3,smaller,0.14468279480405713,1.3953488372093024,18,0.05859471526584725,1.7160033436347992,1.6532125137753437,-0.5748737403137392,2,1,0.05859471526584725,Nocturnal
Notomys mitchelli,SW,0,3,B,52.0,52.0,Notomys,0,F,ST,N,2,1.7160033436347992,1.7160033436347992,1.7160033436347992,3,smaller,0.0,1.0,19,0.0,1.8195439355418688,1.711807229041191,0.17193529928452356,2,1,0.004196114593608247,Nocturnal
Rattus tunneyi,SW,1,2,B,66.0,66.0,Rattus,0,F,ST,N,4,1.8195439355418688,1.8195439355418688,1.8195439355418688,4,smaller,0.0,1.0,22,0.0,1.845098040014257,1.7160033436347992,-0.3026719427309579,4,2,0.10354059190706955,Nocturnal
Pseudomys shortridgei,SW,0,3,B,70.0,70.0,Pseudomys,0,F,T,N,5,1.845098040014257,1.845098040014257,1.845098040014257,4,smaller,0.0,1.0,23,0.02555410447238815,2.1222158782728267,1.8195439355418688,0.3136191229720018,5,1,0.02555410447238815,Nocturnal
Rattus fuscipes,SW,0,2,B,132.5,132.5,Rattus,0,F,ST,N,4,2.1222158782728267,2.1222158782728267,2.1222158782728267,4,smaller,0.0,1.0,24,0.3026719427309579,2.28668096935493,1.845098040014257,0.3026719427309579,4,2,0.2771178382585697,Nocturnal
Phascogale tapoatafa,SW,0,3,F,156.0,193.5,Phascogale,1,A,A,N,2,2.1931245983544616,2.1931245983544616,2.28668096935493,4,smaller,0.17048738153768273,1.4807692307692308,25,0.04575749056067524,2.3324384599156054,2.1222158782728267,0.5748737403137392,2,1,0.1644650910821035,Nocturnal
Perameles bougainville,SW,1,3,F,218.0,215.0,Perameles,1,A,T,N,1,2.3384564936046046,2.3384564936046046,2.3324384599156054,4,larger,0.012120632675853438,1.028301886792453,27,0.0,2.4471580313422194,2.28668096935493,-Inf,1,1,0.04575749056067524,Nocturnal
